,timestamp,enhanced_altitude,enhanced_speed,utc_timestamp,timestamp_ms,heading,velocity,position_lat,position_long
40,31,18.799999999999955,0.0,2018-06-01 10:14:04,806,359.33,"(0.0, 0.0, 0.0)",52.40774296224117,13.073201235383749
41,31,18.799999999999955,0.0,2018-06-01 10:14:04,906,359.33,"(0.0, 0.0, 0.0)",52.40774338133633,13.073201151564717
42,32,18.799999999999955,0.0,2018-06-01 10:14:04,6,359.33,"(0.0, 0.0, 0.0)",52.40774396806955,13.073200983926654
43,32,18.799999999999955,0.0,2018-06-01 10:14:04,106,359.33,"(0.0, 0.0, 0.0)",52.407744470983744,13.073200732469559
44,32,18.799999999999955,0.0,2018-06-01 10:14:05,806,359.33,"(0.0, 0.0, 0.0)",52.407749416306615,13.073197547346354
45,33,18.799999999999955,0.0,2018-06-01 10:14:06,806,359.33,"(0.0, 0.0, 0.0)",52.40775804966688,13.073194362223148
46,33,18.799999999999955,0.0,2018-06-01 10:14:06,906,359.33,"(0.0, 0.0, 0.0)",52.40775855258107,13.073194278404117
47,34,18.799999999999955,0.0,2018-06-01 10:14:07,806,359.33,"(0.0, 0.0, 0.0)",52.407765006646514,13.073192853480577
48,35,18.799999999999955,0.0,2018-06-01 10:14:08,806,359.33,"(0.0, 0.0, 0.0)",52.407770454883575,13.073190925642848
49,36,18.799999999999955,0.0,2018-06-01 10:14:09,806,359.33,"(0.0, 0.0, 0.0)",52.40777355618775,13.073190171271563
50,37,18.799999999999955,0.0,2018-06-01 10:14:10,806,359.33,"(0.0, 0.0, 0.0)",52.40777648985386,13.073190590366721
51,38,18.799999999999955,0.0,2018-06-01 10:14:11,806,359.33,"(0.0, 0.0, 0.0)",52.40778059698641,13.07319151237607
52,38,18.799999999999955,0.0,2018-06-01 10:14:11,906,359.33,"(0.0, 0.0, 0.0)",52.40778101608157,13.073191763833165
53,39,18.799999999999955,0.0,2018-06-01 10:14:12,806,359.33,"(0.0, 0.0, 0.0)",52.407784536480904,13.07319494895637
54,39,18.799999999999955,0.0,2018-06-01 10:14:12,906,359.33,"(0.0, 0.0, 0.0)",52.407784620299935,13.073195284232497
55,40,18.799999999999955,0.0,2018-06-01 10:14:12,6,359.33,"(0.0, 0.0, 0.0)",52.40778487175703,13.073195619508624
56,40,18.799999999999955,0.0,2018-06-01 10:14:13,806,359.33,"(0.0, 0.0, 0.0)",52.407787553966045,13.073199223726988
57,41,18.799999999999955,0.0,2018-06-01 10:14:14,806,359.33,"(0.0, 0.0, 0.0)",52.40779249928892,13.073205929249525
58,42,18.799999999999955,0.0,2018-06-01 10:14:15,806,359.33,"(0.0, 0.0, 0.0)",52.40779618732631,13.073211796581745
59,43,18.799999999999955,0.0,2018-06-01 10:14:16,806,359.33,"(0.0, 0.0, 0.0)",52.40779870189726,13.073215065523982
60,44,18.799999999999955,0.0,2018-06-01 10:14:17,806,359.33,"(0.0, 0.0, 0.0)",52.40780238993466,13.073216741904616
61,45,18.799999999999955,0.0,2018-06-01 10:14:18,806,359.33,"(0.0, 0.0, 0.0)",52.40780423395336,13.073216238990426
62,45,18.799999999999955,0.0,2018-06-01 10:14:18,906,359.33,"(0.0, 0.0, 0.0)",52.40780440159142,13.073216155171394
63,46,18.799999999999955,0.0,2018-06-01 10:14:19,806,359.33,"(0.0, 0.0, 0.0)",52.40780574269593,13.073215987533331
64,47,18.799999999999955,0.0,2018-06-01 10:14:20,806,359.33,"(0.0, 0.0, 0.0)",52.40780632942915,13.073216574266553
65,48,18.799999999999955,0.0,2018-06-01 10:14:21,806,359.33,"(0.0, 0.0, 0.0)",52.40780943073332,13.073219005018473
66,49,18.799999999999955,0.0,2018-06-01 10:14:22,806,359.33,"(0.0, 0.0, 0.0)",52.4078125320375,13.073218753561378
67,50,18.799999999999955,0.0,2018-06-01 10:14:23,806,359.33,"(0.0, 0.0, 0.0)",52.407813873142004,13.073222022503614
68,51,18.799999999999955,0.0,2018-06-01 10:14:24,806,359.33,"(0.0, 0.0, 0.0)",52.40781647153199,13.073224788531661
69,51,18.799999999999955,0.0,2018-06-01 10:14:24,906,359.33,"(0.0, 0.0, 0.0)",52.407816387712955,13.073225039988756
70,52,18.799999999999955,0.0,2018-06-01 10:14:25,806,359.33,"(0.0, 0.0, 0.0)",52.40781697444618,13.073228895664215
71,53,18.799999999999955,0.0,2018-06-01 10:14:26,806,359.33,"(0.0, 0.0, 0.0)",52.40782049484551,13.073232499882579
72,54,18.799999999999955,0.0,2018-06-01 10:14:27,806,359.33,"(0.0, 0.0, 0.0)",52.407821249216795,13.073234930634499
73,55,18.799999999999955,0.0,2018-06-01 10:14:28,806,359.33,"(0.0, 0.0, 0.0)",52.407822757959366,13.073235768824816
74,56,18.799999999999955,0.0,2018-06-01 10:14:29,806,359.33,"(0.0, 0.0, 0.0)",52.40782451815903,13.07323744520545
75,57,18.799999999999955,0.0,2018-06-01 10:14:30,806,359.33,"(0.0, 0.0, 0.0)",52.40782309323549,13.073240127414465
76,57,18.799999999999955,0.0,2018-06-01 10:14:30,906,359.33,"(0.0, 0.0, 0.0)",52.407823177054524,13.07323987595737
77,58,18.799999999999955,0.0,2018-06-01 10:14:31,806,359.33,"(0.0, 0.0, 0.0)",52.40782426670194,13.073239289224148
78,59,18.799999999999955,0.0,2018-06-01 10:14:32,806,359.33,"(0.0, 0.0, 0.0)",52.4078225903213,13.073242725804448
79,60,18.799999999999955,0.0,2018-06-01 10:14:33,806,359.33,"(0.0, 0.0, 0.0)",52.40782292559743,13.073245324194431
80,61,18.600000000000023,0.0,2018-06-01 10:14:34,806,359.33,"(0.0, 0.0, 0.0)",52.40782485343516,13.07324574328959
81,62,18.600000000000023,0.0,2018-06-01 10:14:35,806,359.33,"(0.0, 0.0, 0.0)",52.40783088840544,13.073245827108622
82,63,18.600000000000023,0.0,2018-06-01 10:14:36,806,359.33,"(0.0, 0.0, 0.0)",52.40783533081412,13.073250353336334
83,63,18.600000000000023,0.0,2018-06-01 10:14:36,906,359.33,"(0.0, 0.0, 0.0)",52.407835917547345,13.07325110770762
84,64,18.600000000000023,0.0,2018-06-01 10:14:37,806,359.33,"(0.0, 0.0, 0.0)",52.40784061141312,13.07325647212565
85,65,18.600000000000023,0.0,2018-06-01 10:14:38,806,359.33,"(0.0, 0.0, 0.0)",52.40783994086087,13.073256555944681
86,66,18.600000000000023,0.0,2018-06-01 10:14:39,805,359.33,"(0.0, 0.0, 0.0)",52.40784136578441,13.073256388306618
87,66,18.600000000000023,0.0,2018-06-01 10:14:39,905,359.33,"(0.0, 0.0, 0.0)",52.40784144960344,13.073256388306618
88,67,18.600000000000023,0.0,2018-06-01 10:14:39,5,359.33,"(0.0, 0.0, 0.0)",52.4078416172415,13.073256304487586
89,67,18.600000000000023,0.0,2018-06-01 10:14:40,805,359.33,"(0.0, 0.0, 0.0)",52.407843293622136,13.073253287002444
90,68,18.600000000000023,0.0,2018-06-01 10:14:41,805,359.33,"(0.0, 0.0, 0.0)",52.40784748457372,13.073248760774732
91,68,18.600000000000023,0.0,2018-06-01 10:14:41,905,359.33,"(0.0, 0.0, 0.0)",52.40784832276404,13.073248341679573
92,69,18.399999999999977,0.0,2018-06-01 10:14:42,805,359.33,"(0.0, 0.0, 0.0)",52.40785234607756,13.073244066908956
93,69,18.399999999999977,0.0,2018-06-01 10:14:42,905,359.33,"(0.0, 0.0, 0.0)",52.40785259753466,13.073243480175734
94,70,18.399999999999977,0.0,2018-06-01 10:14:43,805,359.33,"(0.0, 0.0, 0.0)",52.40785385482013,13.073240043595433
95,71,18.399999999999977,0.0,2018-06-01 10:14:44,805,359.33,"(0.0, 0.0, 0.0)",52.40785368718207,13.073238367214799
96,72,18.399999999999977,0.0,2018-06-01 10:14:45,805,359.33,"(0.0, 0.0, 0.0)",52.40785586647689,13.073234092444181
97,72,18.399999999999977,0.0,2018-06-01 10:14:45,905,359.33,"(0.0, 0.0, 0.0)",52.40785620175302,13.07323350571096
98,73,18.399999999999977,0.0,2018-06-01 10:14:45,5,359.33,"(0.0, 0.0, 0.0)",52.40785620175302,13.0732330866158
99,73,18.399999999999977,0.0,2018-06-01 10:14:45,105,359.33,"(0.0, 0.0, 0.0)",52.40785628557205,13.073232667520642
100,73,18.399999999999977,0.0,2018-06-01 10:14:45,205,359.33,"(0.0, 0.0, 0.0)",52.40785653702915,13.073232248425484
101,73,18.600000000000023,0.0,2018-06-01 10:14:46,805,359.33,"(0.0, 0.0, 0.0)",52.40785947069526,13.073229985311627
102,73,18.600000000000023,0.0,2018-06-01 10:14:46,905,359.33,"(0.0, 0.0, 0.0)",52.40785972215235,13.073229398578405
103,74,18.600000000000023,0.0,2018-06-01 10:14:46,5,359.33,"(0.0, 0.0, 0.0)",52.407859805971384,13.073228728026152
104,74,18.600000000000023,0.0,2018-06-01 10:14:46,105,359.33,"(0.0, 0.0, 0.0)",52.40786005742848,13.073228308930993
105,74,18.600000000000023,0.0,2018-06-01 10:14:46,205,359.33,"(0.0, 0.0, 0.0)",52.40786005742848,13.073227973654866
106,74,18.600000000000023,0.0,2018-06-01 10:14:46,305,359.33,"(0.0, 0.0, 0.01)",52.40786005742848,13.073227554559708
107,74,18.600000000000023,0.0,2018-06-01 10:14:46,405,359.33,"(0.0, 0.0, 0.01)",52.40786005742848,13.07322721928358
